broker_order_id,ticker,side,quantity,price,status,raw_json
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,BUY,2,25350,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,003490,SELL,72,25450,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,BUY,1,56900,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,009420,SELL,72,57100,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,BUY,12,5010,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
,018880,SELL,72,5030,[2000](571489:장이 열리지않는 날입니다.),"{""return_msg"": ""[2000](571489:장이 열리지않는 날입니다.)"", ""return_code"": 20}"
