trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-16,2026-06-16T09:31:09,BUY-2026-06-16-066570-20260616T093109,066570,BUY,1,238500,238500,35.775,0.0,35.775,backtest_replay,,,,,,,1,238500,238500.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:31:20,BUY-2026-06-16-005387-20260616T093120,005387,BUY,1,255000,255000,38.25,0.0,38.25,backtest_replay,,,,,,,1,255000,255000.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:31:26,BUY-2026-06-16-036570-20260616T093126,036570,BUY,1,263500,263500,39.525,0.0,39.525,backtest_replay,,,,,,,1,263500,263500.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:53:55,SELL-2026-06-16-036570-20260616T095355,036570,SELL,1,264000,264000,39.6,475.2,514.8,backtest_replay,,,,,,,1,263500,263500.0,1,264000,500.0,-54.325,0.1898,-0.0206,CLOSED
2026-06-16,2026-06-16T09:53:57,BUY-2026-06-16-336260-20260616T095357,336260,BUY,3,77700,233100,34.965,0.0,34.965,backtest_replay,,,,,,,3,233100,77700.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:57:33,SELL-2026-06-16-336260-20260616T095733,336260,SELL,3,78000,234000,35.1,421.2,456.3,backtest_replay,,,,,,,3,233100,77700.0,3,234000,900.0,408.735,0.3861,0.1753,CLOSED
2026-06-16,2026-06-16T09:57:34,BUY-2026-06-16-022100-20260616T095734,022100,BUY,10,28200,282000,42.3,0.0,42.3,backtest_replay,,,,,,,10,282000,28200.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:03:55,SELL-2026-06-16-022100-20260616T100355,022100,SELL,10,28300,283000,42.45,509.4,551.85,backtest_replay,,,,,,,10,282000,28200.0,10,283000,1000.0,405.85,0.3546,0.1439,CLOSED
2026-06-16,2026-06-16T10:03:56,BUY-2026-06-16-036460-20260616T100356,036460,BUY,8,36300,290400,43.56,0.0,43.56,backtest_replay,,,,,,,8,290400,36300.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:05:03,BUY-2026-06-16-081660-20260616T100503,081660,BUY,6,43200,259200,38.88,0.0,38.88,backtest_replay,,,,,,,6,259200,43200.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:05:03,SELL-2026-06-16-036460-20260616T100503,036460,SELL,8,36500,292000,43.8,525.6,569.4,backtest_replay,,,,,,,8,290400,36300.0,8,292000,1600.0,987.04,0.5510,0.3399,CLOSED
2026-06-16,2026-06-16T10:11:32,BUY-2026-06-16-035420-20260616T101132,035420,BUY,1,244000,244000,36.6,0.0,36.6,backtest_replay,,,,,,,1,244000,244000.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:11:32,SELL-2026-06-16-066570-20260616T101132,066570,SELL,1,234500,234500,35.175,422.1,457.27500000000003,backtest_replay,,,,,,,1,238500,238500.0,1,234500,-4000.0,-4493.05,-1.6771,-1.8839,CLOSED
2026-06-16,2026-06-16T10:11:43,BUY-2026-06-16-161390-20260616T101143,161390,BUY,4,72300,289200,43.38,0.0,43.38,backtest_replay,,,,,,,4,289200,72300.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:11:43,SELL-2026-06-16-005387-20260616T101143,005387,SELL,1,253000,253000,37.95,455.4,493.34999999999997,backtest_replay,,,,,,,1,255000,255000.0,1,253000,-2000.0,-2531.6,-0.7843,-0.9928,CLOSED
2026-06-16,2026-06-16T10:17:27,SELL-2026-06-16-081660-20260616T101727,081660,SELL,6,42850,257100,38.565,462.78,501.34499999999997,backtest_replay,,,,,,,6,259200,43200.0,6,257100,-2100.0,-2640.225,-0.8102,-1.0186,CLOSED
2026-06-16,2026-06-16T10:17:28,BUY-2026-06-16-120110-20260616T101728,120110,BUY,4,72200,288800,43.32,0.0,43.32,backtest_replay,,,,,,,4,288800,72200.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:26:39,BUY-2026-06-16-010120-20260616T102639,010120,BUY,1,259500,259500,38.925,0.0,38.925,backtest_replay,,,,,,,1,259500,259500.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:26:39,SELL-2026-06-16-035420-20260616T102639,035420,SELL,1,244500,244500,36.675,440.1,476.77500000000003,backtest_replay,,,,,,,1,244000,244000.0,1,244500,500.0,-13.375,0.2049,-0.0055,CLOSED
2026-06-16,2026-06-16T10:26:50,SELL-2026-06-16-161390-20260616T102650,161390,SELL,4,71500,286000,42.9,514.8,557.6999999999999,backtest_replay,,,,,,,4,289200,72300.0,4,286000,-3200.0,-3801.08,-1.1065,-1.3143,CLOSED
2026-06-16,2026-06-16T10:26:53,BUY-2026-06-16-326030-20260616T102653,326030,BUY,3,91000,273000,40.95,0.0,40.95,backtest_replay,,,,,,,3,273000,91000.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:50:29,SELL-2026-06-16-326030-20260616T105029,326030,SELL,3,90300,270900,40.635,487.62,528.255,backtest_replay,,,,,,,3,273000,91000.0,3,270900,-2100.0,-2669.205,-0.7692,-0.9777,CLOSED
2026-06-16,2026-06-16T10:50:31,BUY-2026-06-16-000100-20260616T105031,000100,BUY,3,78400,235200,35.28,0.0,35.28,backtest_replay,,,,,,,3,235200,78400.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:50:45,SELL-2026-06-16-120110-20260616T105045,120110,SELL,4,71300,285200,42.78,513.36,556.14,backtest_replay,,,,,,,4,288800,72200.0,4,285200,-3600.0,-4199.46,-1.2465,-1.4541,CLOSED
2026-06-16,2026-06-16T10:50:46,BUY-2026-06-16-097230-20260616T105046,097230,BUY,12,22750,273000,40.95,0.0,40.95,backtest_replay,,,,,,,12,273000,22750.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:57:02,SELL-2026-06-16-010120-20260616T105702,010120,SELL,1,260000,260000,39.0,468.0,507.0,backtest_replay,,,,,,,1,259500,259500.0,1,260000,500.0,-45.925,0.1927,-0.0177,CLOSED
2026-06-16,2026-06-16T10:57:04,BUY-2026-06-16-015760-20260616T105704,015760,BUY,7,40300,282100,42.315,0.0,42.315,backtest_replay,,,,,,,7,282100,40300.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:57:33,SELL-2026-06-16-097230-20260616T105733,097230,SELL,12,22950,275400,41.31,495.72,537.03,backtest_replay,,,,,,,12,273000,22750.0,12,275400,2400.0,1822.02,0.8791,0.6674,CLOSED
2026-06-16,2026-06-16T10:57:34,BUY-2026-06-16-192820-20260616T105734,192820,BUY,1,168700,168700,25.305,0.0,25.305,backtest_replay,,,,,,,1,168700,168700.0,0,0,,,,,OPEN
