trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-10,2026-06-10T09:31:38,BUY-2026-06-10-004990-20260610T093138,004990,BUY,7,25700,179900,26.985,0.0,26.985,backtest_replay,,,,,,,7,179900,25700.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:31:39,BUY-2026-06-10-081660-20260610T093139,081660,BUY,4,40200,160800,24.12,0.0,24.12,backtest_replay,,,,,,,4,160800,40200.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:31:42,BUY-2026-06-10-005090-20260610T093142,005090,BUY,3,52800,158400,23.76,0.0,23.76,backtest_replay,,,,,,,3,158400,52800.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:33:27,SELL-2026-06-10-005090-20260610T093327,005090,SELL,3,52100,156300,23.445,281.34,304.78499999999997,backtest_replay,,,,,,,3,158400,52800.0,3,156300,-2100.0,-2428.545,-1.3258,-1.5332,CLOSED
2026-06-10,2026-06-10T09:33:28,BUY-2026-06-10-028670-20260610T093328,028670,BUY,39,5110,199290,29.8935,0.0,29.8935,backtest_replay,,,,,,,39,199290,5110.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:42:10,SELL-2026-06-10-004990-20260610T094210,004990,SELL,7,25500,178500,26.775,321.3,348.075,backtest_replay,,,,,,,7,179900,25700.0,7,178500,-1400.0,-1775.06,-0.7782,-0.9867,CLOSED
2026-06-10,2026-06-10T09:42:10,SELL-2026-06-10-028670-20260610T094210,028670,SELL,39,5060,197340,29.601,355.212,384.813,backtest_replay,,,,,,,39,199290,5110.0,39,197340,-1950.0,-2364.7065,-0.9785,-1.1866,CLOSED
2026-06-10,2026-06-10T09:42:11,BUY-2026-06-10-008770-20260610T094211,008770,BUY,3,53600,160800,24.12,0.0,24.12,backtest_replay,,,,,,,3,160800,53600.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:42:12,BUY-2026-06-10-192080-20260610T094212,192080,BUY,2,71700,143400,21.51,0.0,21.51,backtest_replay,,,,,,,2,143400,71700.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:52:59,BUY-2026-06-10-462870-20260610T095259,462870,BUY,6,30650,183900,27.585,0.0,27.585,backtest_replay,,,,,,,6,183900,30650.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:52:59,SELL-2026-06-10-008770-20260610T095259,008770,SELL,3,53900,161700,24.255,291.06,315.315,backtest_replay,,,,,,,3,160800,53600.0,3,161700,900.0,560.565,0.5597,0.3486,CLOSED
2026-06-10,2026-06-10T09:56:42,SELL-2026-06-10-192080-20260610T095642,192080,SELL,2,72200,144400,21.66,259.92,281.58000000000004,backtest_replay,,,,,,,2,143400,71700.0,2,144400,1000.0,696.91,0.6974,0.4860,CLOSED
2026-06-10,2026-06-10T09:56:43,BUY-2026-06-10-181710-20260610T095643,181710,BUY,4,40200,160800,24.12,0.0,24.12,backtest_replay,,,,,,,4,160800,40200.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:00:30,SELL-2026-06-10-081660-20260610T100030,081660,SELL,4,40350,161400,24.21,290.52,314.72999999999996,backtest_replay,,,,,,,4,160800,40200.0,4,161400,600.0,261.15,0.3731,0.1624,CLOSED
2026-06-10,2026-06-10T10:00:31,SELL-2026-06-10-462870-20260610T100031,462870,SELL,6,31100,186600,27.99,335.88,363.87,backtest_replay,,,,,,,6,183900,30650.0,6,186600,2700.0,2308.545,1.4682,1.2553,CLOSED
2026-06-10,2026-06-10T10:00:34,BUY-2026-06-10-005090-20260610T100034,005090,BUY,3,51400,154200,23.13,0.0,23.13,backtest_replay,,,,,,,6,312600,52100.0,3,156300,0.0,-351.675,0.0000,-0.2250,OPEN
2026-06-10,2026-06-10T10:02:22,SELL-2026-06-10-005090-20260610T100222,005090,SELL,3,51800,155400,23.31,279.72,303.03000000000003,backtest_replay,,,,,,,6,312600,52100.0,6,311700,-900.0,-1554.705,-0.2879,-0.4973,CLOSED
2026-06-10,2026-06-10T10:02:27,BUY-2026-06-10-000430-20260610T100227,000430,BUY,34,5850,198900,29.835,0.0,29.835,backtest_replay,,,,,,,34,198900,5850.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:04:12,BUY-2026-06-10-161390-20260610T100412,161390,BUY,2,72000,144000,21.6,0.0,21.6,backtest_replay,,,,,,,2,144000,72000.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:04:20,SELL-2026-06-10-181710-20260610T100420,181710,SELL,4,40550,162200,24.33,291.96,316.28999999999996,backtest_replay,,,,,,,4,160800,40200.0,4,162200,1400.0,1059.59,0.8706,0.6589,CLOSED
2026-06-10,2026-06-10T10:04:23,SELL-2026-06-10-000430-20260610T100423,000430,SELL,34,5750,195500,29.325,351.9,381.22499999999997,backtest_replay,,,,,,,34,198900,5850.0,34,195500,-3400.0,-3811.06,-1.7094,-1.9161,CLOSED
2026-06-10,2026-06-10T10:06:12,BUY-2026-06-10-066575-20260610T100612,066575,BUY,2,78100,156200,23.43,0.0,23.43,backtest_replay,,,,,,,2,156200,78100.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:06:13,BUY-2026-06-10-383220-20260610T100613,383220,BUY,2,75500,151000,22.65,0.0,22.65,backtest_replay,,,,,,,2,151000,75500.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:08:16,SELL-2026-06-10-161390-20260610T100816,161390,SELL,2,71500,143000,21.45,257.4,278.84999999999997,backtest_replay,,,,,,,2,144000,72000.0,2,143000,-1000.0,-1300.45,-0.6944,-0.9031,CLOSED
2026-06-10,2026-06-10T10:08:18,BUY-2026-06-10-326030-20260610T100818,326030,BUY,2,88300,176600,26.49,0.0,26.49,backtest_replay,,,,,,,2,176600,88300.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:10:18,SELL-2026-06-10-066575-20260610T101018,066575,SELL,2,78400,156800,23.52,282.24,305.76,backtest_replay,,,,,,,2,156200,78100.0,2,156800,600.0,270.81,0.3841,0.1734,CLOSED
2026-06-10,2026-06-10T10:10:22,BUY-2026-06-10-069960-20260610T101022,069960,BUY,1,162200,162200,24.33,0.0,24.33,backtest_replay,,,,,,,1,162200,162200.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:14:12,SELL-2026-06-10-069960-20260610T101412,069960,SELL,1,163500,163500,24.525,294.3,318.825,backtest_replay,,,,,,,1,162200,162200.0,1,163500,1300.0,956.845,0.8015,0.5899,CLOSED
2026-06-10,2026-06-10T10:15:49,BUY-2026-06-10-161390-20260610T101549,161390,BUY,2,71700,143400,21.51,0.0,21.51,backtest_replay,,,,,,,4,287400,71850.0,2,143000,-700.0,-1021.96,-0.4871,-0.7112,OPEN
2026-06-10,2026-06-10T10:17:53,SELL-2026-06-10-161390-20260610T101753,161390,SELL,2,71900,143800,21.57,258.84,280.40999999999997,backtest_replay,,,,,,,4,287400,71850.0,4,286800,-600.0,-1202.37,-0.2088,-0.4184,CLOSED
2026-06-10,2026-06-10T10:19:40,BUY-2026-06-10-161390-20260610T101940,161390,BUY,2,71800,143600,21.54,0.0,21.54,backtest_replay,,,,,,,6,431000,71833.3333,4,286800,-533.3333,-1157.2433,-0.1856,-0.4028,OPEN
2026-06-10,2026-06-10T10:19:45,SELL-2026-06-10-383220-20260610T101945,383220,SELL,2,75700,151400,22.71,272.52,295.22999999999996,backtest_replay,,,,,,,2,151000,75500.0,2,151400,400.0,82.12,0.2649,0.0544,CLOSED
